kernel,avg_cv_sw_w,avg_cv_rmse,cv_w_x_error,cv_w_y_error,cv_w_z_error,cv_w_clock_error,satellite
K1_RBF+Per+White,0.9418588181543908,4.037887042960482,0.9383851787436489,0.9296627674586236,0.9315927127884782,0.9677946136268121,GEO
K2_RQ+Per+White,0.9461793526782808,4.076380830633612,0.9456428959357176,0.92757085257252,0.9437627931130462,0.9677408690918393,GEO
K3_Mat+Per+White,0.9465964020029601,4.037163495739551,0.9458587193615678,0.932917646364896,0.9403137964820584,0.9672954458033182,GEO
K1_Mat+12h,0.9030498533564619,0.3449069540277414,0.8981287737083593,0.9273615846781609,0.8432101825723883,0.9434988724669391,MEO1
K2_Mat+12h+24h,0.900153322792401,0.28326638165387946,0.8653729852778937,0.9388294202834594,0.8497525000054579,0.9466583856027931,MEO1
K3_RBF+12h+24h,0.9003598596184729,0.26071598179814726,0.8539607065619524,0.8884565232679237,0.9067380841218352,0.9522841245221801,MEO1
K1_Mat+12h,0.7811969137946251,0.15397390563551894,0.8187821800280586,0.7832813200797697,0.6984499190282951,0.8242742360423767,MEO2
K2_Mat+12h+24h,0.7952735847634007,0.15281516806131368,0.8460636540020559,0.8224966067963841,0.7127857074558318,0.7997483707993311,MEO2
K3_RBF+12h+24h,0.7946360490199024,0.15185025701351704,0.8075479445215517,0.8225073229683219,0.7198397225399513,0.8286492060497848,MEO2
