satellite,baseline,column,rmse,mae,res_mean,res_std,sw_w,sw_p,h0_rejected
GEO,Persistence,x_error,13.940290833038762,8.797194478347825,-1.7582551073043475,13.828964078604832,0.8695599153451867,3.385701701044304e-06,1.0
GEO,Persistence,y_error,19.620447926585832,11.151407495492753,-0.3405037955797103,19.617493061170226,0.8211586424648606,1.0716109940903511e-07,1.0
GEO,Persistence,z_error,10.495575584459468,6.554181634246377,-1.2714619863623189,10.41827678967771,0.8893530149737883,1.7127048123763042e-05,1.0
GEO,Persistence,clock_error,15.800331297593468,5.987715298826087,0.7957831170000003,15.780278779045998,0.5556320138652366,3.9154257688608533e-13,1.0
GEO,Persistence,AVERAGED,14.964161410419383,8.12262472672826,-0.6436094430615942,14.911253177124692,0.7839258966622681,5.154977828939739e-06,1.0
GEO,Linear Extrap,x_error,23.010907947155665,18.402705519498312,-15.22958316865138,17.249976262638803,0.9751310581477901,0.18413554427949724,0.0
GEO,Linear Extrap,y_error,25.06132103956115,19.27485634950038,-12.60950989093839,21.658025592335907,0.9430431092865135,0.003463912567275686,1.0
GEO,Linear Extrap,z_error,11.483646703387642,8.16501458823846,-4.583126061637636,10.5294395440291,0.913513322934234,0.00015435497158342175,1.0
GEO,Linear Extrap,clock_error,16.8879319142612,10.086698950907294,-5.2264841450500565,16.05883270422425,0.6664493063702459,3.0597933446395416e-11,1.0
GEO,Linear Extrap,AVERAGED,19.110951901091415,13.982318852036112,-9.412175816569366,16.37406852580702,0.8745341991846958,0.04693845296223857,0.75
GEO,Training Mean,x_error,13.833544004503306,8.338623378849682,0.3559385300675535,13.828964078604832,0.8695599153451866,3.385701701044278e-06,1.0
GEO,Training Mean,y_error,19.693027792993075,11.012268834977483,1.7231684916269012,19.617493061170226,0.8211586424648606,1.0716109940903511e-07,1.0
GEO,Training Mean,z_error,10.48602517695162,6.53494809687196,-1.1900557740400046,10.41827678967771,0.8893530149737883,1.7127048123763042e-05,1.0
GEO,Training Mean,clock_error,15.800247970090728,5.987931323956883,0.7941269243305783,15.780278779045998,0.5556320138652366,3.9154257688608533e-13,1.0
GEO,Training Mean,AVERAGED,14.953211236134683,7.968442908664002,0.42079454299625707,14.911253177124692,0.7839258966622681,5.1549778289397325e-06,1.0
MEO1,Persistence,x_error,0.30577626316507556,0.29141740483333334,-0.29141740483333334,0.09260139996459375,0.8375064297227617,0.1242920571347283,0.0
MEO1,Persistence,y_error,0.8200477531773351,0.7157928281666667,0.7157928281666667,0.4001486531732432,0.9298021674956642,0.5785749696096806,0.0
