satellite,model,column,rmse,mae,res_mean,res_std,sw_w,sw_p,h0_rejected
GEO,GP_Tuned,x_error,13.815218903749875,8.320725199710447,0.3103018168642773,13.811733639951887,0.8686159907508056,3.1447333927507987e-06,1.0
GEO,GP_Tuned,y_error,20.04928449748421,11.488124504123117,1.6886915119392059,19.978041191232062,0.836916584554889,3.081324580676398e-07,1.0
GEO,GP_Tuned,z_error,10.36746790487498,6.432380938200179,-1.214332424491042,10.296105454075464,0.8835923488335594,1.0525240166058514e-05,1.0
GEO,GP_Tuned,clock_error,15.867335118620336,6.216889126553943,0.8442772224364011,15.844857832693775,0.5684107915923379,6.207093634171126e-13,1.0
GEO,GP_Tuned,AVERAGED,15.024826606182348,8.114529942146921,0.4072345316872106,14.982684529488298,0.789383928932898,3.494526659396579e-06,1.0
MEO1,GP_Tuned,x_error,0.19684029244747706,0.17094329301792066,-0.17094329301792066,0.09759350031122771,0.9210699899562327,0.513100609225021,0.0
MEO1,GP_Tuned,y_error,0.40992231990298966,0.3735419555933596,-0.1941664626163091,0.361020350049299,0.9323110367500236,0.5980635490982942,0.0
MEO1,GP_Tuned,z_error,0.0916185294122452,0.07575902060845476,0.05381243892485957,0.07414968879651955,0.9502415232598969,0.7422377137824203,0.0
MEO1,GP_Tuned,clock_error,0.10411700929734481,0.08533246672707169,-0.05288350539653191,0.08968660146308571,0.9253005034043641,0.5443291597992024,0.0
MEO1,GP_Tuned,AVERAGED,0.20062453776501418,0.1763941839867017,-0.09104520552647553,0.15561253515503298,0.9322307633426293,0.5994327579762344,0.0
MEO2,GP_Tuned,x_error,0.2588714570337174,0.19447160519212664,-0.11154966856325732,0.23360458623534605,0.891247990259254,0.040543170240407184,1.0
MEO2,GP_Tuned,y_error,0.12400324920951003,0.09792310079681835,-0.09754605669949365,0.07656090802031423,0.9144192890638967,0.10296930467027737,0.0
MEO2,GP_Tuned,z_error,0.231681569841322,0.14993933627337722,0.08425968952100117,0.21581625176516211,0.8123182240684754,0.0022794883575241653,1.0
MEO2,GP_Tuned,clock_error,0.05357572359877455,0.029990958748112473,-0.019702428765462764,0.04982140563928474,0.6624512730321007,3.016521852404591e-05,1.0
MEO2,GP_Tuned,AVERAGED,0.16703299992083098,0.11808125025260867,-0.03613461612680314,0.1439507879150268,0.8201091941059317,0.0364555321216832,0.75
