satellite,model,column,rmse,mae,res_mean,res_std,sw_w,sw_p,h0_rejected
GEO,GP,x_error,13.693120907513952,8.422006656501956,0.501476575623614,13.683935158860429,0.8797587891554574,7.666467113647518e-06,1.0
GEO,GP,y_error,19.690590526218273,11.011138910985494,1.7232730506450904,19.615037223113223,0.8211762305074696,1.0728407316243937e-07,1.0
GEO,GP,z_error,10.82075694664239,6.9558880697968775,-1.2226085309964994,10.751465447939836,0.9092373399010281,0.00010251562636524602,1.0
GEO,GP,clock_error,15.850798849818522,6.196737090635834,0.7318561720440683,15.833894363701216,0.5668755301502476,5.869858240384458e-13,1.0
GEO,GP,AVERAGED,15.013816807548285,8.14644268198004,0.4334993168290684,14.971083048403678,0.7942619724285507,2.7572344534760452e-05,1.0
MEO1,GP,x_error,0.1949453630182678,0.1481236033565621,-0.03924047578943277,0.1909551769974911,0.8423397268924807,0.13629827101271536,0.0
MEO1,GP,y_error,0.10385032385760341,0.09502518851366419,-0.09502518851366419,0.04189395318266945,0.92037092469883,0.5080365012605447,0.0
MEO1,GP,z_error,0.08797696057203029,0.07050436676592303,0.05042172572023821,0.07209434906347126,0.9713911815462061,0.9016461156862732,0.0
MEO1,GP,clock_error,0.16601964196630756,0.14217855470354382,-0.06628840236016666,0.15221159361611583,0.9351886804834163,0.6207232828939597,0.0
MEO1,GP,AVERAGED,0.13819807235355228,0.1139579283349233,-0.03753308523575635,0.11428876821493691,0.9173226284052333,0.5416760427133732,0.0
MEO2,GP,x_error,0.2112935670730791,0.13666085308690118,-0.11384607076070213,0.1780001226370785,0.8264067809439853,0.0036760845874216647,1.0
MEO2,GP,y_error,0.15570733725270847,0.13933257008403027,-0.13933257008403027,0.06950690460743801,0.9438078623739117,0.3362311673436741,0.0
MEO2,GP,z_error,0.17041032588097152,0.10186875054669373,-0.002205774688803037,0.17039604961641902,0.7178369395320982,0.00012970950277731358,1.0
MEO2,GP,clock_error,0.04667616611224226,0.02724144767824489,-0.0040299694879007125,0.046501869090007794,0.690928716027123,6.275729594925705e-05,1.0
MEO2,GP,AVERAGED,0.14602184907975033,0.10127590534896752,-0.06485359625535904,0.11610123648773583,0.7947450747192795,0.08502492968245558,0.75
