satellite,model,column,rmse,mae,res_mean,res_std,sw_w,sw_p,h0_rejected
GEO,GP_Final,x_error,13.647265845787016,8.250937639108272,0.4175161515841111,13.640877733076827,0.8678757169357184,2.9684289357249906e-06,1.0
GEO,GP_Final,y_error,19.772571929263933,11.080823815220864,1.7426558392856322,19.695627720987208,0.8236007661202888,1.2574325632191351e-07,1.0
GEO,GP_Final,z_error,10.636428847538337,6.609604181599231,-1.1759419547611634,10.57122410829409,0.8844277829726128,1.1286199834323853e-05,1.0
GEO,GP_Final,clock_error,15.867299792117407,6.216871092879978,0.8437817751400825,15.84484884777607,0.5684121307381885,6.20739647022709e-13,1.0
GEO,GP_Final,AVERAGED,14.980891603676675,8.039559182202087,0.4570029528121656,14.93814460253355,0.7860790991917022,3.595093161777601e-06,1.0
MEO1,GP_Final,x_error,0.20993335019930487,0.1713160797498202,0.04994989235221853,0.20390443786221463,0.8698552008224338,0.2256284462704315,0.0
MEO1,GP_Final,y_error,0.44209374242086075,0.29923337485723944,0.24213459200115636,0.3698887892922897,0.8459711761892974,0.14597532101776822,0.0
MEO1,GP_Final,z_error,0.09730103394379688,0.0705658137873238,0.05687338194886823,0.07894877853539005,0.8872694532328614,0.3041271103317087,0.0
MEO1,GP_Final,clock_error,0.2468373438230698,0.19280236558568056,-0.05194814251332686,0.24130906488369525,0.9658392666780179,0.863409765251065,0.0
MEO1,GP_Final,AVERAGED,0.24904136759675807,0.18347940849501598,0.07425243094722905,0.2235127676433974,0.8922337742306526,0.3847851607177434,0.0
MEO2,GP_Final,x_error,0.23293547271688192,0.16707066151398065,-0.1139535646358969,0.20315885301066683,0.8548861568563078,0.010122469939627865,1.0
MEO2,GP_Final,y_error,0.12255385807503197,0.10884201628866647,-0.10884201628866647,0.0563281778445987,0.900149220642587,0.05780226880107544,0.0
MEO2,GP_Final,z_error,0.1620200367629497,0.1017864193395326,0.022487119252687853,0.1604519298119626,0.771905767742448,0.0006255133557198757,1.0
MEO2,GP_Final,clock_error,0.04676442627685258,0.02767245519313089,-0.00230677834325192,0.04670749767091237,0.7170471342225171,0.00012691103641753306,1.0
MEO2,GP_Final,AVERAGED,0.14106844845792907,0.10134288808382765,-0.05065381000378186,0.11666161458453513,0.810997069865965,0.017169290783210178,0.75
